FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VDS
 V A V
186 -23 -2.91451E-06 -23
187 -24 -2.94638E-06 -24
188 -25 -2.97363E-06 -25
189 -26 -2.99794E-06 -26
190 -27 -3.01943E-06 -27
191 -28 -3.03816E-06 -28
192 -29 -3.05497E-06 -29
193 -30 -3.06948E-06 -30
194 -31 -3.08238E-06 -31
195 -32 -3.09335E-06 -32
196 -33 -3.10337E-06 -33
197 -34 -3.11218E-06 -34
198 -35 -3.12017E-06 -35
199 -36 -3.12722E-06 -36
200 -37 -3.13352E-06 -37
201 -38 -3.13918E-06 -38
202 -39 -3.14398E-06 -39
203 -40 -3.14852E-06 -40
204 -41 -3.15266E-06 -41
205 -42 -3.15616E-06 -42
206 -43 -3.15934E-06 -43
207 -44 -3.16311E-06 -44
208 -45 -3.16605E-06 -45
209 -46 -3.16916E-06 -46
210 -47 -3.17187E-06 -47
211 -48 -3.17424E-06 -48
212 -49 -3.17692E-06 -49
213 -50 -3.17886E-06 -50
214 -51 -3.18103E-06 -51
215 -52 -3.18307E-06 -52
216 -53 -3.1849E-06 -53
217 -54 -3.18687E-06 -54
218 -55 -3.18882E-06 -55
219 -56 -3.19032E-06 -56
220 -57 -3.19242E-06 -57
221 -58 -3.19378E-06 -58
222 -59 -3.19545E-06 -59
223 -60 -3.19685E-06 -60
224 -61 -3.19812E-06 -61
225 -62 -3.19992E-06 -62
226 -63 -3.2012E-06 -63
227 -64 -3.20249E-06 -64
228 -65 -3.20431E-06 -65
229 -66 -3.20536E-06 -66
230 -67 -3.20706E-06 -67
231 -68 -3.2084E-06 -68
232 -69 -3.20969E-06 -69
233 -70 -3.21103E-06 -70
234 -71 -3.21244E-06 -71
235 -72 -3.2135E-06 -72
236 -73 -3.21512E-06 -73
237 -74 -3.216E-06 -74
238 -75 -3.21736E-06 -75
239 -76 -3.21888E-06 -76
240 -77 -3.21979E-06 -77
241 -78 -3.22049E-06 -78
242 -79 -3.22191E-06 -79
243 -80 -3.22311E-06 -80
244 0 2.7838E-09 0
245 -1 -2.86131E-07 -1
246 -2 -5.51581E-07 -2
247 -3 -7.99814E-07 -3
248 -4 -1.03089E-06 -4
249 -5 -1.25012E-06 -5
250 -6 -1.4521E-06 -6
251 -7 -1.64029E-06 -7
252 -8 -1.8149E-06 -8
253 -9 -1.97725E-06 -9
254 -10 -2.12691E-06 -10
255 -11 -2.26576E-06 -11
256 -12 -2.39356E-06 -12
257 -13 -2.51067E-06 -13
258 -14 -2.6182E-06 -14
259 -15 -2.7162E-06 -15
260 -16 -2.80602E-06 -16
261 -17 -2.88715E-06 -17
262 -18 -2.96063E-06 -18
263 -19 -3.02693E-06 -19
264 -20 -3.0863E-06 -20
265 -21 -3.13985E-06 -21
266 -22 -3.18739E-06 -22
267 -23 -3.2298E-06 -23
268 -24 -3.26773E-06 -24
269 -25 -3.30091E-06 -25
270 -26 -3.33059E-06 -26
271 -27 -3.35691E-06 -27
272 -28 -3.37999E-06 -28
273 -29 -3.39996E-06 -29
274 -30 -3.418E-06 -30
275 -31 -3.43363E-06 -31
276 -32 -3.44717E-06 -32
277 -33 -3.45917E-06 -33
278 -34 -3.47027E-06 -34
279 -35 -3.47995E-06 -35
280 -36 -3.48873E-06 -36
281 -37 -3.49617E-06 -37
282 -38 -3.50289E-06 -38
283 -39 -3.50898E-06 -39
284 -40 -3.51457E-06 -40
285 -41 -3.51918E-06 -41
286 -42 -3.52304E-06 -42
287 -43 -3.52694E-06 -43
288 -44 -3.53046E-06 -44
289 -45 -3.53385E-06 -45
290 -46 -3.53715E-06 -46
291 -47 -3.53982E-06 -47
292 -48 -3.5422E-06 -48
293 -49 -3.54441E-06 -49
294 -50 -3.54694E-06 -50
295 -51 -3.5496E-06 -51
296 -52 -3.55121E-06 -52
297 -53 -3.55361E-06 -53
298 -54 -3.55542E-06 -54
299 -55 -3.55755E-06 -55
300 -56 -3.55908E-06 -56
301 -57 -3.56061E-06 -57
302 -58 -3.56214E-06 -58
303 -59 -3.56391E-06 -59
304 -60 -3.56591E-06 -60
305 -61 -3.56714E-06 -61
306 -62 -3.56847E-06 -62
307 -63 -3.56977E-06 -63
308 -64 -3.57138E-06 -64
309 -65 -3.57289E-06 -65
310 -66 -3.57412E-06 -66
311 -67 -3.57582E-06 -67
