FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VG
 V A V
1 0 -1.0687E-09 0
2 -1 -4.3408E-07 0
3 -2 -8.52036E-07 0
4 -3 -1.2594E-06 0
5 -4 -1.65441E-06 0
6 -5 -2.03609E-06 0
7 -6 -2.40457E-06 0
8 -7 -2.76377E-06 0
9 -8 -3.1119E-06 0
10 -9 -3.45161E-06 0
11 -10 -3.78069E-06 0
12 -11 -4.1024E-06 0
13 -12 -4.41499E-06 0
14 -13 -4.71852E-06 0
15 -14 -5.01408E-06 0
16 -15 -5.30127E-06 0
17 -16 -5.58069E-06 0
18 -17 -5.85132E-06 0
19 -18 -6.11506E-06 0
20 -19 -6.37017E-06 0
21 -20 -6.61878E-06 0
22 -21 -6.85793E-06 0
23 -22 -7.09153E-06 0
24 -23 -7.3164E-06 0
25 -24 -7.53476E-06 0
26 -25 -7.74564E-06 0
27 -26 -7.96725E-06 0
28 -27 -8.17671E-06 0
29 -28 -8.37829E-06 0
30 -29 -8.57044E-06 0
31 -30 -8.7571E-06 0
32 -31 -8.93608E-06 0
33 -32 -9.10781E-06 0
34 -33 -9.27227E-06 0
35 -34 -9.43191E-06 0
36 -35 -9.58445E-06 0
37 -36 -9.72948E-06 0
38 -37 -9.86894E-06 0
39 -38 -1.00001E-05 0
40 -39 -1.01118E-05 0
41 -40 -1.02211E-05 0
42 -41 -1.03248E-05 0
43 -42 -1.04251E-05 0
44 -43 -1.05194E-05 0
45 -44 -1.06086E-05 0
46 -45 -1.06952E-05 0
47 -46 -1.07755E-05 0
48 -47 -1.08523E-05 0
49 -48 -1.09245E-05 0
50 -49 -1.09934E-05 0
51 -50 -1.10573E-05 0
52 -51 -1.11186E-05 0
53 -52 -1.11761E-05 0
54 -53 -1.12308E-05 0
55 -54 -1.12811E-05 0
56 -55 -1.13297E-05 0
57 -56 -1.13749E-05 0
58 -57 -1.14165E-05 0
59 -58 -1.1456E-05 0
60 -59 -1.14943E-05 0
61 -60 -1.15294E-05 0
62 -61 -1.15632E-05 0
63 -62 -1.15941E-05 0
64 -63 -1.16229E-05 0
65 -64 -1.16515E-05 0
66 -65 -1.16774E-05 0
67 -66 -1.17032E-05 0
68 -67 -1.17268E-05 0
69 -68 -1.175E-05 0
70 -69 -1.17721E-05 0
71 -70 -1.17929E-05 0
72 -71 -1.18125E-05 0
73 -72 -1.18311E-05 0
74 -73 -1.1849E-05 0
75 -74 -1.18665E-05 0
76 -75 -1.18839E-05 0
77 -76 -1.1899E-05 0
78 -77 -1.19148E-05 0
79 -78 -1.19298E-05 0
80 -79 -1.19438E-05 0
81 -80 -1.19585E-05 0
82 0 6.4823E-09 -1
83 -1 -4.73368E-07 -1
84 -2 -9.26054E-07 -1
85 -3 -1.36455E-06 -1
86 -4 -1.79135E-06 -1
87 -5 -2.20349E-06 -1
88 -6 -2.60121E-06 -1
89 -7 -2.98769E-06 -1
90 -8 -3.36269E-06 -1
91 -9 -3.72777E-06 -1
92 -10 -4.08089E-06 -1
93 -11 -4.42581E-06 -1
94 -12 -4.76129E-06 -1
95 -13 -5.08606E-06 -1
96 -14 -5.40329E-06 -1
97 -15 -5.71043E-06 -1
98 -16 -6.00982E-06 -1
99 -17 -6.29935E-06 -1
100 -18 -6.58166E-06 -1
101 -19 -6.85437E-06 -1
102 -20 -7.11954E-06 -1
103 -21 -7.37623E-06 -1
104 -22 -7.62597E-06 -1
105 -23 -7.86585E-06 -1
106 -24 -8.11104E-06 -1
107 -25 -8.34233E-06 -1
108 -26 -8.56488E-06 -1
109 -27 -8.77949E-06 -1
110 -28 -8.98725E-06 -1
111 -29 -9.18673E-06 -1
112 -30 -9.37866E-06 -1
113 -31 -9.56224E-06 -1
114 -32 -9.74081E-06 -1
115 -33 -9.91146E-06 -1
116 -34 -1.00737E-05 -1
117 -35 -1.02204E-05 -1
118 -36 -1.03615E-05 -1
119 -37 -1.04975E-05 -1
120 -38 -1.06269E-05 -1
121 -39 -1.07521E-05 -1
122 -40 -1.0869E-05 -1
123 -41 -1.09818E-05 -1
124 -42 -1.10885E-05 -1
125 -43 -1.11901E-05 -1
126 -44 -1.12866E-05 -1
127 -45 -1.13778E-05 -1
128 -46 -1.14633E-05 -1
129 -47 -1.15445E-05 -1
130 -48 -1.16222E-05 -1
131 -49 -1.16942E-05 -1
132 -50 -1.17636E-05 -1
133 -51 -1.18279E-05 -1
134 -52 -1.18875E-05 -1
135 -53 -1.19443E-05 -1
136 -54 -1.19979E-05 -1
137 -55 -1.20479E-05 -1
138 -56 -1.20938E-05 -1
139 -57 -1.21387E-05 -1
140 -58 -1.21796E-05 -1
141 -59 -1.22179E-05 -1
142 -60 -1.22545E-05 -1
143 -61 -1.22888E-05 -1
144 -62 -1.23195E-05 -1
145 -63 -1.23489E-05 -1
146 -64 -1.23767E-05 -1
147 -65 -1.24025E-05 -1
148 -66 -1.2427E-05 -1
149 -67 -1.24509E-05 -1
150 -68 -1.24722E-05 -1
151 -69 -1.24938E-05 -1
152 -70 -1.25127E-05 -1
153 -71 -1.25321E-05 -1
154 -72 -1.25491E-05 -1
155 -73 -1.25659E-05 -1
156 -74 -1.25823E-05 -1
157 -75 -1.25974E-05 -1
158 -76 -1.2613E-05 -1
159 -77 -1.26272E-05 -1
160 -78 -1.2641E-05 -1
161 -79 -1.26536E-05 -1
162 -80 -1.26662E-05 -1
163 0 6.9875E-09 -2
164 -1 -4.90115E-07 -2
165 -2 -9.5961E-07 -2
166 -3 -1.41441E-06 -2
167 -4 -1.85793E-06 -2
168 -5 -2.28633E-06 -2
169 -6 -2.69925E-06 -2
170 -7 -3.10211E-06 -2
171 -8 -3.49175E-06 -2
172 -9 -3.87184E-06 -2
173 -10 -4.23974E-06 -2
174 -11 -4.59931E-06 -2
175 -12 -4.94885E-06 -2
176 -13 -5.2882E-06 -2
177 -14 -5.61843E-06 -2
178 -15 -5.93902E-06 -2
179 -16 -6.25219E-06 -2
180 -17 -6.55478E-06 -2
181 -18 -6.84984E-06 -2
182 -19 -7.13551E-06 -2
183 -20 -7.41352E-06 -2
184 -21 -7.6824E-06 -2
185 -22 -7.94723E-06 -2
186 -23 -8.20754E-06 -2
187 -24 -8.45762E-06 -2
188 -25 -8.69805E-06 -2
189 -26 -8.93113E-06 -2
190 -27 -9.15465E-06 -2
191 -28 -9.37154E-06 -2
192 -29 -9.58E-06 -2
193 -30 -9.78105E-06 -2
194 -31 -9.97428E-06 -2
195 -32 -1.01606E-05 -2
196 -33 -1.03284E-05 -2
197 -34 -1.0492E-05 -2
198 -35 -1.06504E-05 -2
199 -36 -1.08026E-05 -2
200 -37 -1.09484E-05 -2
201 -38 -1.10865E-05 -2
202 -39 -1.12197E-05 -2
203 -40 -1.13471E-05 -2
204 -41 -1.14665E-05 -2
205 -42 -1.15809E-05 -2
206 -43 -1.16892E-05 -2
207 -44 -1.17931E-05 -2
208 -45 -1.18916E-05 -2
209 -46 -1.19837E-05 -2
210 -47 -1.20717E-05 -2
211 -48 -1.21537E-05 -2
212 -49 -1.22324E-05 -2
213 -50 -1.23052E-05 -2
214 -51 -1.23739E-05 -2
215 -52 -1.24382E-05 -2
216 -53 -1.24993E-05 -2
217 -54 -1.2556E-05 -2
218 -55 -1.26093E-05 -2
219 -56 -1.26588E-05 -2
220 -57 -1.27056E-05 -2
221 -58 -1.27495E-05 -2
222 -59 -1.27903E-05 -2
223 -60 -1.28292E-05 -2
224 -61 -1.2865E-05 -2
225 -62 -1.28984E-05 -2
226 -63 -1.29303E-05 -2
227 -64 -1.29595E-05 -2
228 -65 -1.29866E-05 -2
229 -66 -1.30119E-05 -2
230 -67 -1.30364E-05 -2
231 -68 -1.30601E-05 -2
232 -69 -1.30811E-05 -2
233 -70 -1.31011E-05 -2
234 -71 -1.31204E-05 -2
235 -72 -1.31397E-05 -2
236 -73 -1.31567E-05 -2
237 -74 -1.31729E-05 -2
238 -75 -1.31888E-05 -2
239 -76 -1.32041E-05 -2
240 -77 -1.32187E-05 -2
241 -78 -1.32321E-05 -2
242 -79 -1.32444E-05 -2
243 -80 -1.32577E-05 -2
244 0 8.5649E-09 -3
