FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VG
 V A V
1 0 -8.064E-10 0
2 -1 -3.2741E-07 0
3 -2 -6.39854E-07 0
4 -3 -9.41836E-07 0
5 -4 -1.2327E-06 0
6 -5 -1.51558E-06 0
7 -6 -1.78484E-06 0
8 -7 -2.04574E-06 0
9 -8 -2.29694E-06 0
10 -9 -2.54117E-06 0
11 -10 -2.77618E-06 0
12 -11 -3.0047E-06 0
13 -12 -3.22629E-06 0
14 -13 -3.4398E-06 0
15 -14 -3.64823E-06 0
16 -15 -3.84873E-06 0
17 -16 -4.04407E-06 0
18 -17 -4.2334E-06 0
19 -18 -4.41696E-06 0
20 -19 -4.594E-06 0
21 -20 -4.7666E-06 0
22 -21 -4.93266E-06 0
23 -22 -5.0932E-06 0
24 -23 -5.24897E-06 0
25 -24 -5.39963E-06 0
26 -25 -5.54501E-06 0
27 -26 -5.68498E-06 0
28 -27 -5.81954E-06 0
29 -28 -5.95033E-06 0
30 -29 -6.07598E-06 0
31 -30 -6.19633E-06 0
32 -31 -6.31181E-06 0
33 -32 -6.42211E-06 0
34 -33 -6.53051E-06 0
35 -34 -6.63116E-06 0
36 -35 -6.72934E-06 0
37 -36 -6.82223E-06 0
38 -37 -6.91147E-06 0
39 -38 -6.99652E-06 0
40 -39 -7.07809E-06 0
41 -40 -7.15605E-06 0
42 -41 -7.23002E-06 0
43 -42 -7.2978E-06 0
44 -43 -7.36326E-06 0
45 -44 -7.42669E-06 0
46 -45 -7.48624E-06 0
47 -46 -7.54411E-06 0
48 -47 -7.59704E-06 0
49 -48 -7.64763E-06 0
50 -49 -7.69502E-06 0
51 -50 -7.74074E-06 0
52 -51 -7.78292E-06 0
53 -52 -7.82371E-06 0
54 -53 -7.86105E-06 0
55 -54 -7.91179E-06 0
56 -55 -7.95819E-06 0
57 -56 -7.99962E-06 0
58 -57 -8.04054E-06 0
59 -58 -8.07763E-06 0
60 -59 -8.1118E-06 0
61 -60 -8.14506E-06 0
62 -61 -8.17417E-06 0
63 -62 -8.20375E-06 0
64 -63 -8.23038E-06 0
65 -64 -8.2561E-06 0
66 -65 -8.27922E-06 0
67 -66 -8.30142E-06 0
68 -67 -8.32349E-06 0
69 -68 -8.34201E-06 0
70 -69 -8.36183E-06 0
71 -70 -8.38E-06 0
72 -71 -8.39641E-06 0
73 -72 -8.41324E-06 0
74 -73 -8.43004E-06 0
75 -74 -8.44488E-06 0
76 -75 -8.45962E-06 0
77 -76 -8.47357E-06 0
78 -77 -8.48688E-06 0
79 -78 -8.49917E-06 0
80 -79 -8.51282E-06 0
