FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VG
 V A V
1 0 -8.277E-10 0
2 -1 -3.18936E-07 0
3 -2 -6.17451E-07 0
4 -3 -9.11884E-07 0
5 -4 -1.1929E-06 0
6 -5 -1.48264E-06 0
7 -6 -1.76172E-06 0
8 -7 -2.01128E-06 0
9 -8 -2.23577E-06 0
10 -9 -2.49942E-06 0
11 -10 -2.72682E-06 0
12 -11 -2.96284E-06 0
13 -12 -3.18446E-06 0
14 -13 -3.4117E-06 0
15 -14 -3.63199E-06 0
16 -15 -3.80944E-06 0
17 -16 -4.0028E-06 0
18 -17 -4.21066E-06 0
19 -18 -4.35388E-06 0
20 -19 -4.52968E-06 0
21 -20 -4.72892E-06 0
22 -21 -4.88984E-06 0
23 -22 -5.06996E-06 0
24 -23 -5.21861E-06 0
25 -24 -5.37803E-06 0
26 -25 -5.51449E-06 0
27 -26 -5.6163E-06 0
28 -27 -5.76961E-06 0
29 -28 -5.89134E-06 0
30 -29 -6.05274E-06 0
31 -30 -6.15921E-06 0
32 -31 -6.23302E-06 0
33 -32 -6.36904E-06 0
34 -33 -6.47511E-06 0
35 -34 -6.57668E-06 0
36 -35 -6.67197E-06 0
37 -36 -6.75565E-06 0
38 -37 -6.84664E-06 0
39 -38 -6.9154E-06 0
40 -39 -7.00703E-06 0
41 -40 -7.09309E-06 0
42 -41 -7.15983E-06 0
43 -42 -7.23126E-06 0
44 -43 -7.24846E-06 0
45 -44 -7.30992E-06 0
46 -45 -7.3863E-06 0
47 -46 -7.4667E-06 0
48 -47 -7.50076E-06 0
49 -48 -7.56516E-06 0
50 -49 -7.58905E-06 0
51 -50 -7.5673E-06 0
52 -51 -7.70658E-06 0
53 -52 -7.74687E-06 0
54 -53 -7.77628E-06 0
55 -54 -7.77821E-06 0
56 -55 -7.80555E-06 0
57 -56 -7.85518E-06 0
58 -57 -7.83816E-06 0
59 -58 -7.90562E-06 0
60 -59 -7.94639E-06 0
61 -60 -7.97922E-06 0
62 -61 -7.9227E-06 0
63 -62 -7.95335E-06 0
64 -63 -8.05782E-06 0
65 -64 -8.10796E-06 0
66 -65 -8.01058E-06 0
67 -66 -8.07244E-06 0
68 -67 -8.08741E-06 0
69 -68 -8.14493E-06 0
70 -69 -8.0871E-06 0
71 -70 -8.12781E-06 0
72 -71 -8.10398E-06 0
73 -72 -8.10626E-06 0
74 -73 -8.12183E-06 0
75 -74 -8.13838E-06 0
76 -75 -8.15764E-06 0
77 -76 -8.17972E-06 0
78 -77 -8.217E-06 0
79 -78 -8.22467E-06 0
80 -79 -8.25115E-06 0
81 -80 -8.27646E-06 0
82 0 6.7291E-09 -1
83 -1 -3.50464E-07 -1
84 -2 -6.80534E-07 -1
85 -3 -1.00148E-06 -1
86 -4 -1.32906E-06 -1
87 -5 -1.63708E-06 -1
88 -6 -1.92507E-06 -1
89 -7 -2.20792E-06 -1
90 -8 -2.48088E-06 -1
91 -9 -2.7404E-06 -1
92 -10 -2.99476E-06 -1
93 -11 -3.256E-06 -1
94 -12 -3.48274E-06 -1
95 -13 -3.72222E-06 -1
96 -14 -3.94608E-06 -1
97 -15 -4.16944E-06 -1
98 -16 -4.37563E-06 -1
99 -17 -4.58539E-06 -1
100 -18 -4.79653E-06 -1
101 -19 -4.97221E-06 -1
102 -20 -5.15326E-06 -1
103 -21 -5.34291E-06 -1
104 -22 -5.5097E-06 -1
105 -23 -5.65969E-06 -1
106 -24 -5.84035E-06 -1
107 -25 -5.97117E-06 -1
108 -26 -6.14659E-06 -1
109 -27 -6.28598E-06 -1
110 -28 -6.45262E-06 -1
111 -29 -6.5489E-06 -1
112 -30 -6.6827E-06 -1
113 -31 -6.79262E-06 -1
114 -32 -6.90311E-06 -1
115 -33 -7.03574E-06 -1
116 -34 -7.08762E-06 -1
117 -35 -7.22974E-06 -1
118 -36 -7.32749E-06 -1
119 -37 -7.42804E-06 -1
120 -38 -7.43966E-06 -1
121 -39 -7.50036E-06 -1
122 -40 -7.63784E-06 -1
123 -41 -7.70609E-06 -1
124 -42 -7.77433E-06 -1
125 -43 -7.87304E-06 -1
126 -44 -7.90584E-06 -1
127 -45 -7.95057E-06 -1
128 -46 -8.03512E-06 -1
129 -47 -8.1026E-06 -1
130 -48 -8.14109E-06 -1
131 -49 -8.13583E-06 -1
132 -50 -8.18807E-06 -1
133 -51 -8.24008E-06 -1
134 -52 -8.28445E-06 -1
135 -53 -8.32548E-06 -1
136 -54 -8.36673E-06 -1
137 -55 -8.40704E-06 -1
138 -56 -8.44707E-06 -1
139 -57 -8.47446E-06 -1
140 -58 -8.50811E-06 -1
141 -59 -8.5445E-06 -1
142 -60 -8.5685E-06 -1
143 -61 -8.59549E-06 -1
144 -62 -8.61148E-06 -1
145 -63 -8.63902E-06 -1
146 -64 -8.65804E-06 -1
147 -65 -8.67919E-06 -1
148 -66 -8.69943E-06 -1
149 -67 -8.71572E-06 -1
150 -68 -8.72985E-06 -1
151 -69 -8.74894E-06 -1
152 -70 -8.76834E-06 -1
153 -71 -8.78379E-06 -1
154 -72 -8.80581E-06 -1
155 -73 -8.82071E-06 -1
156 -74 -8.83507E-06 -1
157 -75 -8.84217E-06 -1
158 -76 -8.84646E-06 -1
159 -77 -8.87108E-06 -1
160 -78 -8.89198E-06 -1
161 -79 -8.89873E-06 -1
162 -80 -8.92058E-06 -1
163 0 4.1049E-09 -2
164 -1 -3.64953E-07 -2
165 -2 -7.10603E-07 -2
166 -3 -1.04501E-06 -2
167 -4 -1.39058E-06 -2
168 -5 -1.70765E-06 -2
169 -6 -2.01578E-06 -2
170 -7 -2.29957E-06 -2
171 -8 -2.59561E-06 -2
172 -9 -2.87193E-06 -2
173 -10 -3.1369E-06 -2
174 -11 -3.40697E-06 -2
175 -12 -3.64481E-06 -2
176 -13 -3.8825E-06 -2
177 -14 -4.12804E-06 -2
178 -15 -4.32835E-06 -2
179 -16 -4.57598E-06 -2
180 -17 -4.80339E-06 -2
181 -18 -4.99761E-06 -2
182 -19 -5.18643E-06 -2
183 -20 -5.38132E-06 -2
184 -21 -5.56977E-06 -2
185 -22 -5.75883E-06 -2
186 -23 -5.96242E-06 -2
187 -24 -6.13151E-06 -2
188 -25 -6.28202E-06 -2
189 -26 -6.41587E-06 -2
190 -27 -6.54664E-06 -2
191 -28 -6.70891E-06 -2
192 -29 -6.88664E-06 -2
193 -30 -7.01702E-06 -2
194 -31 -7.11631E-06 -2
195 -32 -7.2426E-06 -2
196 -33 -7.33725E-06 -2
197 -34 -7.47447E-06 -2
198 -35 -7.58224E-06 -2
199 -36 -7.68346E-06 -2
200 -37 -7.83632E-06 -2
201 -38 -7.92944E-06 -2
202 -39 -8.0048E-06 -2
203 -40 -8.09635E-06 -2
204 -41 -8.14811E-06 -2
205 -42 -8.16996E-06 -2
206 -43 -8.2555E-06 -2
207 -44 -8.32311E-06 -2
208 -45 -8.39997E-06 -2
209 -46 -8.47072E-06 -2
210 -47 -8.52328E-06 -2
211 -48 -8.58069E-06 -2
212 -49 -8.63838E-06 -2
213 -50 -8.70542E-06 -2
214 -51 -8.75447E-06 -2
215 -52 -8.79392E-06 -2
216 -53 -8.81318E-06 -2
217 -54 -8.89813E-06 -2
218 -55 -8.92642E-06 -2
219 -56 -8.96863E-06 -2
220 -57 -9.00018E-06 -2
221 -58 -9.01259E-06 -2
222 -59 -9.03777E-06 -2
223 -60 -9.06759E-06 -2
224 -61 -9.09177E-06 -2
225 -62 -9.11272E-06 -2
226 -63 -9.12373E-06 -2
227 -64 -9.13695E-06 -2
228 -65 -9.15859E-06 -2
229 -66 -9.17492E-06 -2
230 -67 -9.19433E-06 -2
231 -68 -9.20534E-06 -2
232 -69 -9.22507E-06 -2
233 -70 -9.23226E-06 -2
234 -71 -9.25243E-06 -2
235 -72 -9.26275E-06 -2
236 -73 -9.28834E-06 -2
237 -74 -9.28047E-06 -2
238 -75 -9.29697E-06 -2
239 -76 -9.32032E-06 -2
240 -77 -9.32779E-06 -2
241 -78 -9.32971E-06 -2
242 -79 -9.34956E-06 -2
243 -80 -9.35834E-06 -2
244 0 8.3983E-09 -3
245 -1 -3.76414E-07 -3
246 -2 -7.33384E-07 -3
247 -3 -1.07813E-06 -3
248 -4 -1.42439E-06 -3
249 -5 -1.77074E-06 -3
250 -6 -2.06858E-06 -3
251 -7 -2.37147E-06 -3
252 -8 -2.67512E-06 -3
253 -9 -2.97579E-06 -3
254 -10 -3.24998E-06 -3
255 -11 -3.52125E-06 -3
256 -12 -3.78157E-06 -3
257 -13 -4.03261E-06 -3
258 -14 -4.27105E-06 -3
259 -15 -4.52381E-06 -3
260 -16 -4.74656E-06 -3
261 -17 -4.98708E-06 -3
262 -18 -5.1999E-06 -3
263 -19 -5.39648E-06 -3
264 -20 -5.59257E-06 -3
265 -21 -5.79525E-06 -3
266 -22 -5.98135E-06 -3
267 -23 -6.18571E-06 -3
268 -24 -6.36691E-06 -3
269 -25 -6.55784E-06 -3
270 -26 -6.71248E-06 -3
271 -27 -6.84515E-06 -3
272 -28 -7.04297E-06 -3
273 -29 -7.17018E-06 -3
274 -30 -7.32492E-06 -3
275 -31 -7.46406E-06 -3
276 -32 -7.56934E-06 -3
277 -33 -7.69257E-06 -3
278 -34 -7.8428E-06 -3
279 -35 -7.93886E-06 -3
280 -36 -8.05057E-06 -3
281 -37 -8.17117E-06 -3
282 -38 -8.21605E-06 -3
283 -39 -8.29219E-06 -3
284 -40 -8.38486E-06 -3
285 -41 -8.4734E-06 -3
286 -42 -8.56862E-06 -3
287 -43 -8.63047E-06 -3
288 -44 -8.69032E-06 -3
289 -45 -8.77864E-06 -3
290 -46 -8.84784E-06 -3
291 -47 -8.91727E-06 -3
292 -48 -8.99994E-06 -3
293 -49 -9.04495E-06 -3
294 -50 -9.09621E-06 -3
295 -51 -9.11974E-06 -3
296 -52 -9.15932E-06 -3
297 -53 -9.22437E-06 -3
298 -54 -9.24531E-06 -3
299 -55 -9.28422E-06 -3
300 -56 -9.32143E-06 -3
301 -57 -9.36187E-06 -3
302 -58 -9.39301E-06 -3
303 -59 -9.42037E-06 -3
304 -60 -9.44797E-06 -3
305 -61 -9.50981E-06 -3
306 -62 -9.50962E-06 -3
307 -63 -9.51511E-06 -3
308 -64 -9.5371E-06 -3
309 -65 -9.55633E-06 -3
310 -66 -9.57426E-06 -3
311 -67 -9.59316E-06 -3
312 -68 -9.60896E-06 -3
313 -69 -9.62565E-06 -3
314 -70 -9.64064E-06 -3
315 -71 -9.6547E-06 -3
316 -72 -9.66731E-06 -3
317 -73 -9.68486E-06 -3
318 -74 -9.70224E-06 -3
319 -75 -9.72516E-06 -3
320 -76 -9.72052E-06 -3
321 -77 -9.75125E-06 -3
322 -78 -9.76661E-06 -3
323 -79 -9.74079E-06 -3
324 -80 -9.74771E-06 -3
325 0 6.8931E-09 -4
326 -1 -3.86291E-07 -4
327 -2 -7.53605E-07 -4
328 -3 -1.11394E-06 -4
329 -4 -1.47317E-06 -4
330 -5 -1.8114E-06 -4
331 -6 -2.14538E-06 -4
332 -7 -2.466E-06 -4
333 -8 -2.76159E-06 -4
334 -9 -3.06165E-06 -4
335 -10 -3.35085E-06 -4
336 -11 -3.62322E-06 -4
337 -12 -3.90063E-06 -4
338 -13 -4.16994E-06 -4
339 -14 -4.43161E-06 -4
340 -15 -4.66718E-06 -4
341 -16 -4.91043E-06 -4
342 -17 -5.14052E-06 -4
343 -18 -5.37009E-06 -4
344 -19 -5.59997E-06 -4
345 -20 -5.80699E-06 -4
346 -21 -6.01983E-06 -4
347 -22 -6.20828E-06 -4
348 -23 -6.406E-06 -4
349 -24 -6.5997E-06 -4
350 -25 -6.76997E-06 -4
